,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
176,y60xgrqy,176,https://www.speedrun.com/sm64/runs/y60xgrqy,2022-06-05T11:52:38Z,478.0,478.0,86vvqv0j,DillaGames,Indonesia,EMU,Yes
177,mrl1kq4m,176,https://www.speedrun.com/sm64/runs/mrl1kq4m,2023-06-09T04:11:43Z,478.0,478.0,8rlr3pg8,siggyscorp,United States,N64,Yes
178,y6j82j6m,176,https://www.speedrun.com/sm64/runs/y6j82j6m,2025-08-18T23:08:06Z,478.0,478.0,jmo3d1e8,Superstinkyburps,United States,N64,Yes
179,zx3ow55z,180,https://www.speedrun.com/sm64/runs/zx3ow55z,2023-06-17T12:42:08Z,479.0,479.0,j9rd5koj,taquanrice,Japan,N64,Yes
180,yvvqgj4y,180,https://www.speedrun.com/sm64/runs/yvvqgj4y,2023-11-06T17:08:03Z,479.0,479.0,j2wrvyoj,Tanishy,Japan,N64,No
181,mrwe918y,180,https://www.speedrun.com/sm64/runs/mrwe918y,2026-03-04T19:45:37Z,479.0,479.0,8r1kky3j,ramunesakusan,Japan,VC,Yes
182,z1pnxj9z,183,https://www.speedrun.com/sm64/runs/z1pnxj9z,2022-06-27T12:36:08Z,481.0,481.0,8end5g78,SonicGordon6,United States,EMU,Yes
183,ywrxol3m,184,https://www.speedrun.com/sm64/runs/ywrxol3m,2023-07-28T18:06:37Z,482.0,482.0,8lpl934j,PegiTheLoca,Germany,EMU,Yes
184,z025l69m,184,https://www.speedrun.com/sm64/runs/z025l69m,2026-03-11T06:50:21Z,482.0,482.0,j2pdvoo8,marisin641996,Japan,N64,No
185,mr0q3vdm,186,https://www.speedrun.com/sm64/runs/mr0q3vdm,2024-12-10T23:23:45Z,483.0,483.0,qxkppkkj,goofbrush,United Kingdom,N64,Yes
186,zn54v33z,186,https://www.speedrun.com/sm64/runs/zn54v33z,2025-10-07T22:11:53Z,483.0,483.0,qxknn77x,smythe,England,N64,Yes
187,z1ndoe9y,188,https://www.speedrun.com/sm64/runs/z1ndoe9y,2024-07-07T02:35:57Z,484.0,484.0,8v5nwrnj,Michaelguy,United States,N64,Yes
188,meg75e0y,189,https://www.speedrun.com/sm64/runs/meg75e0y,2024-08-16T12:53:10Z,485.0,485.0,qxkrpqm8,Dackage,United States,VC,Yes
189,yddjw6wy,190,https://www.speedrun.com/sm64/runs/yddjw6wy,2022-06-14T03:46:42Z,486.0,486.0,8rprrndj,N8rBeans,United States,N64,Yes
190,emkrq5z6,191,https://www.speedrun.com/sm64/runs/emkrq5z6,2014-11-27T12:13:47Z,487.0,487.0,zx7qg687,ParadoxKarl,Esperanto,VC,Yes
191,emkx42vz,192,https://www.speedrun.com/sm64/runs/emkx42vz,2017-01-09T02:26:07Z,488.0,488.0,5j52e9qj,GUTOA,Japan,N64,Yes
192,ylp8gpkm,192,https://www.speedrun.com/sm64/runs/ylp8gpkm,2025-04-13T06:23:07Z,488.0,488.0,jo2mdg08,Tumbad0,Mexico,EMU,Yes
193,y28o3gwy,192,https://www.speedrun.com/sm64/runs/y28o3gwy,2025-09-03T06:44:36Z,488.0,488.0,xk661q68,Doggasus,Chile,EMU,Yes
194,m3n30k4y,195,https://www.speedrun.com/sm64/runs/m3n30k4y,2021-02-18T16:20:08Z,489.0,489.0,kjp07yy8,SilverCross,United States,N64,Yes
195,meld000z,196,https://www.speedrun.com/sm64/runs/meld000z,2023-08-17T10:16:49Z,490.0,490.0,e8ewrz78,ariapath,Australia,EMU,Yes
196,zxqn4jkm,196,https://www.speedrun.com/sm64/runs/zxqn4jkm,2024-04-26T00:06:22Z,490.0,490.0,8lpgwllj,Vadien,United States,VC,Yes
197,yjxv8ldz,198,https://www.speedrun.com/sm64/runs/yjxv8ldz,2022-03-19T00:50:09Z,491.0,491.0,zxze4qex,caleb2112,United States,N64,Yes
198,m7o76e0y,198,https://www.speedrun.com/sm64/runs/m7o76e0y,2024-08-19T05:26:15Z,491.0,491.0,8w1wng4x,moltres93,United States,N64,Yes
199,2ywwxpy4,200,https://www.speedrun.com/sm64/runs/2ywwxpy4,,492.0,492.0,v81kkerj,aKaFuKu,Japan,N64,Yes
200,z57p2onm,200,https://www.speedrun.com/sm64/runs/z57p2onm,2019-11-17T22:48:45Z,492.0,492.0,7j47lplj,dumpdome64,United States,EMU,Yes
201,m7021qey,200,https://www.speedrun.com/sm64/runs/m7021qey,2023-07-05T06:32:29Z,492.0,492.0,1xyqkgz8,Sanklo,Argentina,EMU,Yes
